number_to_find	slope	count
1	4.05440963673706e-07	3
2	0.36937793598384505	2733157
3	0.13693579342296372	1013236
4	4.05440963673706e-07	3
6	2.7029397578247065e-07	2
8	0.016424007997458155	121527
11	2.7029397578247065e-07	2
13	0.00041827992752337334	3095
16	2.7029397578247065e-07	2
18	4.05440963673706e-07	3
26	5.405879515649413e-07	4
28	2.7029397578247065e-07	2
36	0.04838897357349314	358047
38	0.0	0
47	0.1172128474510805	867299
48	1.3514698789123533e-07	1
53	0.0022401964712851167	16576
57	1.1082053007081297e-05	82
62	1.3514698789123533e-07	1
69	0.1012938837473719	749509
72	0.0	0
77	0.0	0
82	0.0	0
87	1.3514698789123533e-07	1
97	0.005027197655578171	37198
99	1.3514698789123533e-07	1
102	0.08423130623212766	623257
106	2.7029397578247065e-07	2
114	0.0	0
126	0.0	0
131	0.0	0
138	0.0	0
145	1.3514698789123533e-07	1
148	0.0	0
155	0.0	0
175	1.3514698789123533e-07	1
177	1.3514698789123533e-07	1
180	6.757349394561766e-07	5
182	0.0	0
189	4.05440963673706e-07	3
197	0.0	0
206	0.0022808757146403785	16877
209	0.0	0
219	2.7029397578247065e-07	2
221	0.0	0
236	1.3514698789123533e-07	1
238	1.3514698789123533e-07	1
241	1.3514698789123533e-07	1
243	0.0	0
253	0.0	0
258	1.3514698789123533e-07	1
260	1.3514698789123533e-07	1
273	0.029246078473639105	216402
282	1.3514698789123533e-07	1
309	1.3514698789123533e-07	1
316	4.351733010097777e-05	322
319	0.0	0
324	0.0	0
339	0.05952765316850086	440466
341	0.0	0
356	0.0022160051604525857	16397
358	0.0	0
363	0.0	0
370	0.0	0
382	6.757349394561766e-07	5
390	0.0	0
400	0.005565758402324744	41183
402	0.0	0
409	2.7029397578247065e-07	2
412	4.05440963673706e-07	3
414	1.3514698789123533e-07	1
429	1.3514698789123533e-07	1
431	1.3514698789123533e-07	1
434	0.0	0
441	0.0	0
451	0.0	0
456	0.0	0
483	1.1892934934428708e-05	88
485	0.0	0
497	2.7029397578247065e-07	2
502	0.0	0
522	4.05440963673706e-07	3
524	0.0	0
544	2.7029397578247065e-07	2
546	0.0	0
566	6.757349394561766e-07	5
568	0.0	0
585	0.0	0
602	1.3514698789123533e-07	1
605	1.3514698789123533e-07	1
607	0.0	0
612	0.0	0
624	2.7029397578247065e-07	2
627	1.3514698789123533e-07	1
646	0.0	0
668	0.0	0
673	1.3514698789123533e-07	1
685	5.405879515649413e-07	4
688	1.3514698789123533e-07	1
690	0.0	0
695	0.0	0
720	2.7029397578247065e-07	2
722	0.0	0
732	1.3514698789123533e-07	1
734	1.3514698789123533e-07	1
739	0.0	0
751	2.7029397578247065e-07	2
781	1.3514698789123533e-07	1
783	0.0	0
798	1.3514698789123533e-07	1
800	1.3514698789123533e-07	1
820	0.0	0
847	4.05440963673706e-07	3
849	0.0	0
861	1.3514698789123533e-07	1
864	1.3514698789123533e-07	1
866	0.0	0
891	5.405879515649413e-07	4
893	0.0	0
905	0.0	0
927	0.0	0
949	2.7029397578247065e-07	2
983	0.005145451269983003	38073
986	0.0	0
991	0.0	0
1018	1.3514698789123533e-07	1
1020	1.3514698789123533e-07	1
1023	1.7163667462186885e-05	127
1025	0.0	0
1030	1.3514698789123533e-07	1
1032	4.05440963673706e-07	3
1035	2.7029397578247065e-07	2
1037	0.0	0
1052	0.0	0
1079	1.3514698789123533e-07	1
1081	0.0	0
1101	1.3514698789123533e-07	1
1103	0.0	0
1125	0.0	0
1155	0.0020666677388327705	15292
1157	0.0	0
1164	1.3514698789123533e-07	1
1167	1.3514698789123533e-07	1
1169	0.0	0
1186	0.0	0
1191	0.0	0
1208	0.0	0
1230	0.0	0
1252	0.0	0
1257	0.0	0
1296	0.0	0
1308	0.0016714979462387986	12368
1311	1.3514698789123533e-07	1
1313	1.3514698789123533e-07	1
1335	4.05440963673706e-07	3
1338	1.3514698789123533e-07	1
1340	1.3514698789123533e-07	1
1355	0.0	0
1360	1.3514698789123533e-07	1
1377	0.0	0
1387	4.05440963673706e-07	3
1389	0.0	0
1404	1.3514698789123533e-07	1
1406	0.0	0
1428	1.3514698789123533e-07	1
1431	2.7029397578247065e-07	2
1433	0.0	0
1462	8.10881927347412e-07	6
1465	0.0	0
1470	1.3514698789123533e-07	1
1472	0.0	0
1489	2.7029397578247065e-07	2
1492	2.7029397578247065e-07	2
1509	0.0	0
1514	5.405879515649413e-07	4
1516	0.0	0
1531	0.0	0
1536	1.3514698789123533e-07	1
1538	0.0	0
1550	1.3514698789123533e-07	1
1553	0.0	0
1594	2.7029397578247065e-07	2
1602	2.7029397578247065e-07	2
1604	0.0	0
1616	0.0	0
1641	1.3514698789123533e-07	1
1643	1.3514698789123533e-07	1
1646	6.757349394561766e-07	5
1648	0.0	0
1660	1.3514698789123533e-07	1
1682	0.0	0
1707	1.3514698789123533e-07	1
1709	0.0	0
1721	5.405879515649413e-07	4
1724	0.0	0
1748	0.0	0
1765	4.05440963673706e-07	3
1770	0.0	0
1790	1.3514698789123533e-07	1
1792	0.0	0
1812	1.3514698789123533e-07	1
1814	0.0	0
1834	1.3514698789123533e-07	1
1836	0.0	0
1853	2.7029397578247065e-07	2
1856	1.3514698789123533e-07	1
1858	0.0	0
1900	1.3514698789123533e-07	1
1902	0.0	0
1919	1.3514698789123533e-07	1
1941	2.7029397578247065e-07	2
1944	1.3514698789123533e-07	1
1946	0.0	0
1966	1.3514698789123533e-07	1
1968	0.0	0
1985	2.7029397578247065e-07	2
2010	2.7029397578247065e-07	2
2012	0.0	0
2032	4.05440963673706e-07	3
2034	0.0	0
2054	6.757349394561766e-07	5
2056	0.0	0
2090	1.3514698789123533e-07	1
2093	1.3514698789123533e-07	1
2095	0.0	0
2112	1.3514698789123533e-07	1
2115	1.3514698789123533e-07	1
2117	0.0	0
2134	0.0	0
2156	0.0	0
2178	1.3514698789123533e-07	1
2247	1.3514698789123533e-07	1
2249	1.3514698789123533e-07	1
2252	5.405879515649413e-07	4
2254	0.0	0
2288	0.0	0
2327	1.3514698789123533e-07	1
2330	1.3514698789123533e-07	1
2332	0.0	0
2354	0.0	0
2371	1.3514698789123533e-07	1
2393	2.7029397578247065e-07	2
2418	1.3514698789123533e-07	1
2420	0.0	0
2445	2.7029397578247065e-07	2
2447	0.0	0
2462	1.3514698789123533e-07	1
2464	1.3514698789123533e-07	1
2481	2.7029397578247065e-07	2
2484	2.7029397578247065e-07	2
2486	0.0	0
2511	2.7029397578247065e-07	2
2513	0.0	0
2525	1.3514698789123533e-07	1
2550	1.3514698789123533e-07	1
2552	0.0	0
2572	2.7029397578247065e-07	2
2574	0.0	0
2581	0.008198692020421791	60665
2584	0.0	0
2589	0.0	0
2613	2.7029397578247065e-07	2
2616	1.3514698789123533e-07	1
2618	0.0	0
2628	1.3514698789123533e-07	1
2630	1.3514698789123533e-07	1
2633	1.3514698789123533e-07	1
2635	0.0	0
2650	0.0	0
2660	4.05440963673706e-07	3
2662	0.0	0
2674	1.3514698789123533e-07	1
2696	0.0	0
2721	1.3514698789123533e-07	1
2723	0.0	0
2748	1.3514698789123533e-07	1
2750	0.0	0
2762	2.7029397578247065e-07	2
2787	1.3514698789123533e-07	1
2789	0.0	0
2809	1.3514698789123533e-07	1
2811	1.3514698789123533e-07	1
2814	5.405879515649413e-07	4
2816	0.0	0
2831	1.3514698789123533e-07	1
2833	0.0	0
2897	2.7029397578247065e-07	2
2899	0.0	0
2916	2.7029397578247065e-07	2
2919	1.3514698789123533e-07	1
2921	0.0	0
2985	2.7029397578247065e-07	2
2987	0.0	0
3029	5.405879515649413e-07	4
3031	0.0	0
3038	2.8380867457159417e-05	210
3041	1.3514698789123533e-07	1
3043	1.3514698789123533e-07	1
3065	1.3514698789123533e-07	1
3068	1.3514698789123533e-07	1
3070	0.0	0
3085	0.0	0
3090	1.3514698789123533e-07	1
3092	0.0	0
3107	1.3514698789123533e-07	1
3109	0.0	0
3131	0.0	0
3153	0.0	0
3205	3.86520385368933e-05	286
3207	0.0	0
3214	4.05440963673706e-07	3
3217	1.3514698789123533e-07	1
3219	1.3514698789123533e-07	1
3236	2.7029397578247065e-07	2
3239	0.0	0
3261	1.3514698789123533e-07	1
3263	0.0	0
3288	2.7029397578247065e-07	2
3290	0.0	0
3305	0.0	0
3368	2.7029397578247065e-07	2
3371	2.7029397578247065e-07	2
3373	0.0	0
3390	1.3514698789123533e-07	1
3393	2.7029397578247065e-07	2
3395	0.0	0
3415	2.7029397578247065e-07	2
3417	0.0	0
3451	1.3514698789123533e-07	1
3454	1.3514698789123533e-07	1
3456	1.3514698789123533e-07	1
3473	2.7029397578247065e-07	2
3476	0.0	0
3481	1.3514698789123533e-07	1
3483	0.0	0
3495	0.0	0
3525	2.7029397578247065e-07	2
3527	0.0	0
3544	2.7029397578247065e-07	2
3547	4.05440963673706e-07	3
3549	0.0	0
3591	4.05440963673706e-07	3
3593	0.0	0
3605	1.3514698789123533e-07	1
3608	1.3514698789123533e-07	1
3610	0.0	0
3622	5.405879515649413e-07	4
3625	0.0	0
3630	1.3514698789123533e-07	1
3632	0.0	0
3649	1.3514698789123533e-07	1
3669	1.3514698789123533e-07	1
3671	1.3514698789123533e-07	1
3691	0.0	0
3696	1.3514698789123533e-07	1
3698	0.0	0
3723	3.784115660954589e-06	28
3725	0.0	0
3740	1.3514698789123533e-07	1
3742	0.0	0
3759	2.7029397578247065e-07	2
3762	4.05440963673706e-07	3
3764	0.0	0
3806	1.3514698789123533e-07	1
3808	0.0	0
3825	1.3514698789123533e-07	1
3872	4.05440963673706e-07	3
3874	0.0	0
3886	0.0	0
3916	4.05440963673706e-07	3
3918	0.0	0
3930	0.0	0
3952	1.3514698789123533e-07	1
3960	5.405879515649413e-07	4
3962	0.0	0
3974	0.0	0
3991	2.7029397578247065e-07	2
3994	0.0	0
4018	0.0	0
4038	1.3514698789123533e-07	1
4040	0.0	0
4057	0.0	0
4101	1.3514698789123533e-07	1
4118	3.811145058532836e-05	282
4121	0.0	0
4148	1.3514698789123533e-07	1
4150	1.3514698789123533e-07	1
4153	1.3514698789123533e-07	1
4155	0.0	0
4165	1.3514698789123533e-07	1
4167	0.0	0
4187	0.0	0
4211	1.3514698789123533e-07	1
4233	0.0	0
4258	4.05440963673706e-07	3
4260	0.0	0
4294	4.05440963673706e-07	3
