number_to_find	slope	count
2809	1.3498555654544964e-05	1
2811	1.3498555654544964e-05	1
2814	5.399422261817986e-05	4
2816	0.0	0
2831	1.3498555654544964e-05	1
2833	0.0	0
2897	2.699711130908993e-05	2
2899	0.0	0
2916	2.699711130908993e-05	2
2919	1.3498555654544964e-05	1
2921	0.0	0
2985	2.699711130908993e-05	2
2987	0.0	0
3029	5.399422261817986e-05	4
3031	0.0	0
3038	0.00013498555654544963	10
3041	1.3498555654544964e-05	1
3043	1.3498555654544964e-05	1
3065	1.3498555654544964e-05	1
3068	1.3498555654544964e-05	1
3070	0.0	0
3085	0.0	0
3090	1.3498555654544964e-05	1
3092	0.0	0
3107	1.3498555654544964e-05	1
3109	0.0	0
3131	0.0	0
3153	0.0	0
3205	6.749277827272481e-05	5
3207	0.0	0
3214	4.049566696363489e-05	3
3217	1.3498555654544964e-05	1
3219	1.3498555654544964e-05	1
3236	2.699711130908993e-05	2
3239	0.0	0
3261	1.3498555654544964e-05	1
3263	0.0	0
3288	2.699711130908993e-05	2
3290	0.0	0
3305	0.0	0
3368	2.699711130908993e-05	2
3371	2.699711130908993e-05	2
3373	0.0	0
3390	1.3498555654544964e-05	1
3393	2.699711130908993e-05	2
3395	0.0	0
3415	2.699711130908993e-05	2
3417	0.0	0
3451	1.3498555654544964e-05	1
3454	1.3498555654544964e-05	1
3456	1.3498555654544964e-05	1
3473	2.699711130908993e-05	2
3476	0.0	0
3481	1.3498555654544964e-05	1
3483	0.0	0
3495	0.0	0
3525	2.699711130908993e-05	2
3527	0.0	0
3544	2.699711130908993e-05	2
3547	4.049566696363489e-05	3
3549	0.0	0
3591	4.049566696363489e-05	3
3593	0.0	0
3605	1.3498555654544964e-05	1
3608	1.3498555654544964e-05	1
3610	0.0	0
3622	5.399422261817986e-05	4
3625	0.0	0
3630	1.3498555654544964e-05	1
3632	0.0	0
3649	1.3498555654544964e-05	1
3669	1.3498555654544964e-05	1
3671	1.3498555654544964e-05	1
3691	0.0	0
