number_to_find	slope	count
1	4.0520499320606295e-06	3
2	0.3692849212416561	273406
3	0.1369268713041928	101376
4	4.0520499320606295e-06	3
6	2.701366621373753e-06	2
8	0.016570182855506602	12268
11	2.701366621373753e-06	2
13	0.0004200625096236186	311
16	2.701366621373753e-06	2
18	4.0520499320606295e-06	3
26	5.402733242747506e-06	4
28	2.701366621373753e-06	2
36	0.048338254322861936	35788
38	0.0	0
47	0.11715962105229036	86741
48	1.3506833106868764e-06	1
53	0.0022569918121577706	1671
57	1.4857516417555642e-05	11
62	1.3506833106868764e-06	1
69	0.10109729512160202	74849
72	0.0	0
77	0.0	0
82	0.0	0
87	1.3506833106868764e-06	1
97	0.005096128131221585	3773
99	1.3506833106868764e-06	1
102	0.08386392676054816	62090
106	2.701366621373753e-06	2
114	0.0	0
126	0.0	0
131	0.0	0
138	0.0	0
145	1.3506833106868764e-06	1
148	0.0	0
155	0.0	0
175	1.3506833106868764e-06	1
177	1.3506833106868764e-06	1
180	6.753416553434383e-06	5
182	0.0	0
189	4.0520499320606295e-06	3
197	0.0	0
206	0.0022340301958760937	1654
209	0.0	0
219	2.701366621373753e-06	2
221	0.0	0
236	1.3506833106868764e-06	1
238	1.3506833106868764e-06	1
241	1.3506833106868764e-06	1
243	0.0	0
253	0.0	0
258	1.3506833106868764e-06	1
260	1.3506833106868764e-06	1
273	0.02919366907718615	21614
282	1.3506833106868764e-06	1
309	1.3506833106868764e-06	1
316	5.132596580610131e-05	38
319	0.0	0
324	0.0	0
339	0.060023015643614105	44439
341	0.0	0
356	0.0022569918121577706	1671
358	0.0	0
363	0.0	0
370	0.0	0
382	6.753416553434383e-06	5
390	0.0	0
400	0.005612089155903972	4155
402	0.0	0
409	2.701366621373753e-06	2
412	4.0520499320606295e-06	3
414	1.3506833106868764e-06	1
429	1.3506833106868764e-06	1
431	1.3506833106868764e-06	1
434	0.0	0
441	0.0	0
451	0.0	0
456	0.0	0
483	1.890956634961627e-05	14
485	0.0	0
497	2.701366621373753e-06	2
502	0.0	0
522	4.0520499320606295e-06	3
524	0.0	0
544	2.701366621373753e-06	2
546	0.0	0
566	6.753416553434383e-06	5
568	0.0	0
585	0.0	0
602	1.3506833106868764e-06	1
605	1.3506833106868764e-06	1
607	0.0	0
612	0.0	0
624	2.701366621373753e-06	2
627	1.3506833106868764e-06	1
646	0.0	0
668	0.0	0
673	1.3506833106868764e-06	1
685	5.402733242747506e-06	4
688	1.3506833106868764e-06	1
690	0.0	0
695	0.0	0
720	2.701366621373753e-06	2
722	0.0	0
732	1.3506833106868764e-06	1
734	1.3506833106868764e-06	1
739	0.0	0
751	2.701366621373753e-06	2
781	1.3506833106868764e-06	1
783	0.0	0
798	1.3506833106868764e-06	1
800	1.3506833106868764e-06	1
820	0.0	0
847	4.0520499320606295e-06	3
849	0.0	0
861	1.3506833106868764e-06	1
864	1.3506833106868764e-06	1
866	0.0	0
891	5.402733242747506e-06	4
893	0.0	0
905	0.0	0
927	0.0	0
949	2.701366621373753e-06	2
983	0.0050448021654154835	3735
986	0.0	0
991	0.0	0
1018	1.3506833106868764e-06	1
1020	1.3506833106868764e-06	1
1023	2.4312299592363776e-05	18
1025	0.0	0
1030	1.3506833106868764e-06	1
1032	4.0520499320606295e-06	3
1035	2.701366621373753e-06	2
1037	0.0	0
1052	0.0	0
1079	1.3506833106868764e-06	1
1081	0.0	0
1101	1.3506833106868764e-06	1
1103	0.0	0
1125	0.0	0
1155	0.0020503372656226785	1518
1157	0.0	0
1164	1.3506833106868764e-06	1
1167	1.3506833106868764e-06	1
1169	0.0	0
1186	0.0	0
1191	0.0	0
1208	0.0	0
1230	0.0	0
1252	0.0	0
1257	0.0	0
1296	0.0	0
1308	0.0016788993551837875	1243
1311	1.3506833106868764e-06	1
1313	1.3506833106868764e-06	1
1335	4.0520499320606295e-06	3
1338	1.3506833106868764e-06	1
1340	1.3506833106868764e-06	1
1355	0.0	0
1360	1.3506833106868764e-06	1
1377	0.0	0
1387	4.0520499320606295e-06	3
1389	0.0	0
1404	1.3506833106868764e-06	1
1406	0.0	0
1428	1.3506833106868764e-06	1
1431	2.701366621373753e-06	2
1433	0.0	0
1462	8.104099864121259e-06	6
1465	0.0	0
1470	1.3506833106868764e-06	1
1472	0.0	0
1489	2.701366621373753e-06	2
1492	2.701366621373753e-06	2
1509	0.0	0
1514	5.402733242747506e-06	4
1516	0.0	0
1531	0.0	0
1536	1.3506833106868764e-06	1
1538	0.0	0
1550	1.3506833106868764e-06	1
1553	0.0	0
1594	2.701366621373753e-06	2
1602	2.701366621373753e-06	2
1604	0.0	0
1616	0.0	0
1641	1.3506833106868764e-06	1
1643	1.3506833106868764e-06	1
1646	6.753416553434383e-06	5
1648	0.0	0
1660	1.3506833106868764e-06	1
1682	0.0	0
1707	1.3506833106868764e-06	1
1709	0.0	0
1721	5.402733242747506e-06	4
1724	0.0	0
1748	0.0	0
1765	4.0520499320606295e-06	3
1770	0.0	0
1790	1.3506833106868764e-06	1
1792	0.0	0
1812	1.3506833106868764e-06	1
1814	0.0	0
1834	1.3506833106868764e-06	1
1836	0.0	0
1853	2.701366621373753e-06	2
1856	1.3506833106868764e-06	1
1858	0.0	0
1900	1.3506833106868764e-06	1
1902	0.0	0
1919	1.3506833106868764e-06	1
1941	2.701366621373753e-06	2
1944	1.3506833106868764e-06	1
1946	0.0	0
1966	1.3506833106868764e-06	1
1968	0.0	0
1985	2.701366621373753e-06	2
2010	2.701366621373753e-06	2
2012	0.0	0
2032	4.0520499320606295e-06	3
2034	0.0	0
2054	6.753416553434383e-06	5
2056	0.0	0
2090	1.3506833106868764e-06	1
2093	1.3506833106868764e-06	1
2095	0.0	0
2112	1.3506833106868764e-06	1
2115	1.3506833106868764e-06	1
2117	0.0	0
2134	0.0	0
2156	0.0	0
2178	1.3506833106868764e-06	1
2247	1.3506833106868764e-06	1
2249	1.3506833106868764e-06	1
2252	5.402733242747506e-06	4
2254	0.0	0
2288	0.0	0
2327	1.3506833106868764e-06	1
2330	1.3506833106868764e-06	1
2332	0.0	0
2354	0.0	0
2371	1.3506833106868764e-06	1
2393	2.701366621373753e-06	2
2418	1.3506833106868764e-06	1
2420	0.0	0
2445	2.701366621373753e-06	2
2447	0.0	0
2462	1.3506833106868764e-06	1
2464	1.3506833106868764e-06	1
2481	2.701366621373753e-06	2
2484	2.701366621373753e-06	2
2486	0.0	0
2511	2.701366621373753e-06	2
2513	0.0	0
2525	1.3506833106868764e-06	1
2550	1.3506833106868764e-06	1
2552	0.0	0
2572	2.701366621373753e-06	2
2574	0.0	0
2581	0.00821620657890827	6083
2584	0.0	0
2589	0.0	0
2613	2.701366621373753e-06	2
2616	1.3506833106868764e-06	1
2618	0.0	0
2628	1.3506833106868764e-06	1
2630	1.3506833106868764e-06	1
2633	1.3506833106868764e-06	1
2635	0.0	0
2650	0.0	0
2660	4.0520499320606295e-06	3
2662	0.0	0
2674	1.3506833106868764e-06	1
2696	0.0	0
2721	1.3506833106868764e-06	1
2723	0.0	0
2748	1.3506833106868764e-06	1
2750	0.0	0
2762	2.701366621373753e-06	2
2787	1.3506833106868764e-06	1
2789	0.0	0
2809	1.3506833106868764e-06	1
2811	1.3506833106868764e-06	1
2814	5.402733242747506e-06	4
2816	0.0	0
2831	1.3506833106868764e-06	1
2833	0.0	0
2897	2.701366621373753e-06	2
2899	0.0	0
2916	2.701366621373753e-06	2
2919	1.3506833106868764e-06	1
2921	0.0	0
2985	2.701366621373753e-06	2
2987	0.0	0
3029	5.402733242747506e-06	4
3031	0.0	0
3038	4.3221865941980046e-05	32
3041	1.3506833106868764e-06	1
3043	1.3506833106868764e-06	1
3065	1.3506833106868764e-06	1
3068	1.3506833106868764e-06	1
3070	0.0	0
3085	0.0	0
3090	1.3506833106868764e-06	1
3092	0.0	0
3107	1.3506833106868764e-06	1
3109	0.0	0
3131	0.0	0
3153	0.0	0
3205	3.9169816009919416e-05	29
3207	0.0	0
3214	4.0520499320606295e-06	3
3217	1.3506833106868764e-06	1
3219	1.3506833106868764e-06	1
3236	2.701366621373753e-06	2
3239	0.0	0
3261	1.3506833106868764e-06	1
3263	0.0	0
3288	2.701366621373753e-06	2
3290	0.0	0
3305	0.0	0
3368	2.701366621373753e-06	2
3371	2.701366621373753e-06	2
3373	0.0	0
3390	1.3506833106868764e-06	1
3393	2.701366621373753e-06	2
3395	0.0	0
3415	2.701366621373753e-06	2
3417	0.0	0
3451	1.3506833106868764e-06	1
3454	1.3506833106868764e-06	1
3456	1.3506833106868764e-06	1
3473	2.701366621373753e-06	2
3476	0.0	0
3481	1.3506833106868764e-06	1
3483	0.0	0
3495	0.0	0
3525	2.701366621373753e-06	2
3527	0.0	0
3544	2.701366621373753e-06	2
3547	4.0520499320606295e-06	3
3549	0.0	0
3591	4.0520499320606295e-06	3
3593	0.0	0
3605	1.3506833106868764e-06	1
3608	1.3506833106868764e-06	1
3610	0.0	0
3622	5.402733242747506e-06	4
3625	0.0	0
3630	1.3506833106868764e-06	1
3632	0.0	0
3649	1.3506833106868764e-06	1
3669	1.3506833106868764e-06	1
3671	1.3506833106868764e-06	1
3691	0.0	0
3696	1.3506833106868764e-06	1
3698	0.0	0
3723	8.104099864121259e-06	6
3725	0.0	0
3740	1.3506833106868764e-06	1
3742	0.0	0
3759	2.701366621373753e-06	2
3762	4.0520499320606295e-06	3
3764	0.0	0
3806	1.3506833106868764e-06	1
3808	0.0	0
3825	1.3506833106868764e-06	1
3872	4.0520499320606295e-06	3
3874	0.0	0
3886	0.0	0
3916	4.0520499320606295e-06	3
3918	0.0	0
3930	0.0	0
3952	1.3506833106868764e-06	1
3960	5.402733242747506e-06	4
3962	0.0	0
3974	0.0	0
3991	2.701366621373753e-06	2
3994	0.0	0
4018	0.0	0
4038	1.3506833106868764e-06	1
4040	0.0	0
4057	0.0	0
4101	1.3506833106868764e-06	1
4118	4.05204993206063e-05	30
4121	0.0	0
4148	1.3506833106868764e-06	1
4150	1.3506833106868764e-06	1
4153	1.3506833106868764e-06	1
4155	0.0	0
4165	1.3506833106868764e-06	1
4167	0.0	0
4187	0.0	0
4211	1.3506833106868764e-06	1
4233	0.0	0
4258	4.0520499320606295e-06	3
4260	0.0	0
4294	4.0520499320606295e-06	3
4297	0.0	0
4324	1.3506833106868764e-06	1
4326	0.0	0
4341	1.3506833106868764e-06	1
4343	1.3506833106868764e-06	1
4363	1.3506833106868764e-06	1
4365	1.3506833106868764e-06	1
4368	6.753416553434383e-06	5
4370	0.0	0
4390	2.701366621373753e-06	2
4392	0.0	0
4404	2.701366621373753e-06	2
4407	1.3506833106868764e-06	1
4409	0.0	0
4451	1.3506833106868764e-06	1
4453	0.0	0
4470	1.3506833106868764e-06	1
4517	2.701366621373753e-06	2
4519	0.0	0
4531	5.402733242747506e-06	4
4534	1.3506833106868764e-06	1
4536	0.0	0
4578	1.3506833106868764e-06	1
4580	0.0	0
4600	1.3506833106868764e-06	1
4602	0.0	0
4619	2.701366621373753e-06	2
4622	1.3506833106868764e-06	1
4624	0.0	0
4641	1.3506833106868764e-06	1
4644	1.3506833106868764e-06	1
4646	0.0	0
4666	1.3506833106868764e-06	1
4668	0.0	0
4707	1.3506833106868764e-06	1
4729	2.701366621373753e-06	2
4732	1.3506833106868764e-06	1
4734	0.0	0
4754	1.3506833106868764e-06	1
4756	0.0	0
4798	2.701366621373753e-06	2
4800	0.0	0
4878	4.0520499320606295e-06	3
4881	1.3506833106868764e-06	1
4883	0.0	0
4900	2.701366621373753e-06	2
4903	1.3506833106868764e-06	1
4905	0.0	0
4925	1.3506833106868764e-06	1
4927	1.3506833106868764e-06	1
4969	1.3506833106868764e-06	1
4971	1.3506833106868764e-06	1
4996	6.753416553434383e-06	5
4998	0.0	0
5018	4.0520499320606295e-06	3
5020	0.0	0
5032	2.701366621373753e-06	2
5035	1.3506833106868764e-06	1
5037	0.0	0
5049	5.402733242747506e-06	4
5052	0.0	0
5057	2.701366621373753e-06	2
5059	0.0	0
5079	2.701366621373753e-06	2
5081	0.0	0
5096	0.0	0
5118	0.0	0
5159	2.701366621373753e-06	2
5162	1.3506833106868764e-06	1
5164	0.0	0
5181	2.701366621373753e-06	2
5184	1.3506833106868764e-06	1
5186	0.0	0
5206	1.3506833106868764e-06	1
5208	0.0	0
5250	1.3506833106868764e-06	1
5252	0.0	0
5269	2.701366621373753e-06	2
5272	1.3506833106868764e-06	1
5274	0.0	0
5291	1.3506833106868764e-06	1
5294	1.3506833106868764e-06	1
5296	0.0	0
5316	1.3506833106868764e-06	1
5318	0.0	0
5335	1.3506833106868764e-06	1
5357	0.0	0
5382	2.701366621373753e-06	2
5384	0.0	0
5484	2.701366621373753e-06	2
5487	2.701366621373753e-06	2
5489	0.0	0
5514	5.402733242747506e-06	4
5516	0.0	0
5531	1.3506833106868764e-06	1
5533	0.0	0
5550	1.3506833106868764e-06	1
5597	1.3506833106868764e-06	1
5599	0.0	0
5616	2.701366621373753e-06	2
5663	2.701366621373753e-06	2
5665	0.0	0
5685	2.701366621373753e-06	2
5687	0.0	0
5765	2.701366621373753e-06	2
5768	2.701366621373753e-06	2
5770	0.0	0
5795	4.0520499320606295e-06	3
5797	0.0	0
5812	1.3506833106868764e-06	1
5814	0.0	0
5826	4.0520499320606295e-06	3
5829	0.0	0
5853	2.701366621373753e-06	2
5856	1.3506833106868764e-06	1
5858	0.0	0
5873	1.3506833106868764e-06	1
5875	2.701366621373753e-06	2
5878	1.3506833106868764e-06	1
5880	0.0	0
5895	0.0	0
5900	2.701366621373753e-06	2
5902	0.0	0
5944	4.0520499320606295e-06	3
5946	0.0	0
6024	1.3506833106868764e-06	1
6027	2.701366621373753e-06	2
6029	0.0	0
6046	1.3506833106868764e-06	1
6049	2.701366621373753e-06	2
6051	0.0	0
6068	0.0	0
6107	5.402733242747506e-06	4
6110	1.3506833106868764e-06	1
6112	0.0	0
6134	0.0	0
6154	1.3506833106868764e-06	1
6156	0.0	0
6176	1.3506833106868764e-06	1
6178	0.0	0
6239	2.701366621373753e-06	2
6242	1.3506833106868764e-06	1
6244	0.0	0
6283	1.3506833106868764e-06	1
6308	2.701366621373753e-06	2
6310	0.0	0
6322	6.753416553434383e-06	5
6325	1.3506833106868764e-06	1
6327	0.0	0
6352	1.3506833106868764e-06	1
6354	0.0	0
6366	2.701366621373753e-06	2
6391	1.3506833106868764e-06	1
6393	0.0	0
6410	4.0520499320606295e-06	3
6418	2.701366621373753e-06	2
6420	0.0	0
6435	1.3506833106868764e-06	1
6437	0.0	0
6457	1.3506833106868764e-06	1
6459	0.0	0
6479	1.3506833106868764e-06	1
6481	1.3506833106868764e-06	1
6520	2.701366621373753e-06	2
6523	2.701366621373753e-06	2
6525	0.0	0
6550	5.402733242747506e-06	4
6552	0.0	0
6567	1.3506833106868764e-06	1
6569	0.0	0
6586	1.3506833106868764e-06	1
6633	2.701366621373753e-06	2
6635	0.0	0
6652	1.3506833106868764e-06	1
6721	2.701366621373753e-06	2
6723	0.0	0
6735	4.0520499320606295e-06	3
6738	1.3506833106868764e-06	1
6740	0.0	0
6782	1.3506833106868764e-06	1
6784	1.3506833106868764e-06	1
6804	1.3506833106868764e-06	1
6806	0.0	0
6831	4.0520499320606295e-06	3
6833	0.0	0
6862	9.454783174808135e-06	7
6865	0.0	0
6870	1.3506833106868764e-06	1
6872	0.0	0
6889	2.701366621373753e-06	2
6892	1.3506833106868764e-06	1
6894	0.0	0
6909	1.3506833106868764e-06	1
6911	2.701366621373753e-06	2
6914	1.3506833106868764e-06	1
6916	0.0	0
6931	0.0	0
6936	4.0520499320606295e-06	3
6938	0.0	0
6980	2.701366621373753e-06	2
6982	0.0	0
7038	2.701366621373753e-06	2
7041	1.3506833106868764e-06	1
7043	0.0	0
7060	4.0520499320606295e-06	3
7063	1.3506833106868764e-06	1
7065	0.0	0
7082	1.3506833106868764e-06	1
7104	0.0	0
7156	4.0520499320606295e-06	3
7158	0.0	0
7170	1.3506833106868764e-06	1
7192	1.3506833106868764e-06	1
7195	2.701366621373753e-06	2
7197	0.0	0
7217	2.701366621373753e-06	2
7219	0.0	0
7258	0.0	0
7275	2.701366621373753e-06	2
7278	1.3506833106868764e-06	1
7280	0.0	0
7297	2.701366621373753e-06	2
7300	1.3506833106868764e-06	1
7302	0.0	0
7322	2.701366621373753e-06	2
7324	0.0	0
7366	1.3506833106868764e-06	1
7368	0.0	0
7424	6.753416553434383e-06	5
7427	0.0	0
7432	1.3506833106868764e-06	1
7434	0.0	0
7459	2.701366621373753e-06	2
7461	0.0	0
7471	1.3506833106868764e-06	1
7473	2.701366621373753e-06	2
7476	4.0520499320606295e-06	3
7478	0.0	0
7490	4.0520499320606295e-06	3
7498	2.701366621373753e-06	2
7500	0.0	0
7520	2.701366621373753e-06	2
7522	0.0	0
7537	1.3506833106868764e-06	1
7539	0.0	0
7559	0.0	0
7578	1.3506833106868764e-06	1
7581	1.3506833106868764e-06	1
7583	0.0	0
7600	1.3506833106868764e-06	1
7603	1.3506833106868764e-06	1
7605	0.0	0
7622	1.3506833106868764e-06	1
7691	2.701366621373753e-06	2
7693	0.0	0
7727	4.0520499320606295e-06	3
7730	0.0	0
7735	2.701366621373753e-06	2
7737	0.0	0
7749	2.701366621373753e-06	2
7752	1.3506833106868764e-06	1
7754	0.0	0
7774	1.3506833106868764e-06	1
7776	1.3506833106868764e-06	1
7779	2.701366621373753e-06	2
7781	0.0	0
7798	0.0	0
7818	1.3506833106868764e-06	1
7820	0.0	0
7881	4.0520499320606295e-06	3
7884	1.3506833106868764e-06	1
7886	0.0	0
7928	1.3506833106868764e-06	1
7930	1.3506833106868764e-06	1
7950	1.3506833106868764e-06	1
7952	0.0	0
7977	5.402733242747506e-06	4
7979	0.0	0
8008	6.753416553434383e-06	5
8011	0.0	0
8016	1.3506833106868764e-06	1
8018	0.0	0
8055	1.3506833106868764e-06	1
8057	2.701366621373753e-06	2
8060	2.701366621373753e-06	2
8062	0.0	0
8077	0.0	0
8096	5.402733242747506e-06	4
8099	1.3506833106868764e-06	1
8101	0.0	0
8126	1.3506833106868764e-06	1
8128	0.0	0
8143	1.3506833106868764e-06	1
8145	1.3506833106868764e-06	1
8165	1.3506833106868764e-06	1
8167	1.3506833106868764e-06	1
8192	4.0520499320606295e-06	3
8194	0.0	0
8236	5.402733242747506e-06	4
8238	0.0	0
8250	2.701366621373753e-06	2
8253	1.3506833106868764e-06	1
8255	0.0	0
8272	1.3506833106868764e-06	1
8275	1.3506833106868764e-06	1
8277	0.0	0
8294	0.0	0
8316	0.0	0
8338	0.0	0
8368	9.589851505876823e-05	71
8370	0.0	0
8404	1.3506833106868764e-06	1
8421	2.701366621373753e-06	2
8424	1.3506833106868764e-06	1
8426	0.0	0
8451	4.0520499320606295e-06	3
8453	0.0	0
8468	1.3506833106868764e-06	1
8487	0.0	0
8509	1.3506833106868764e-06	1
8512	1.3506833106868764e-06	1
8514	0.0	0
8531	1.3506833106868764e-06	1
8539	2.701366621373753e-06	2
8541	0.0	0
8553	0.0	0
8570	6.753416553434383e-06	5
8573	0.0	0
8617	1.3506833106868764e-06	1
8619	1.3506833106868764e-06	1
8639	0.0	0
8666	2.701366621373753e-06	2
8668	0.0	0
8702	4.0520499320606295e-06	3
8705	0.0	0
8749	1.3506833106868764e-06	1
8751	1.3506833106868764e-06	1
8754	5.402733242747506e-06	4
8756	0.0	0
8771	2.701366621373753e-06	2
8773	1.3506833106868764e-06	1
8812	1.3506833106868764e-06	1
8815	2.701366621373753e-06	2
8817	0.0	0
8842	2.701366621373753e-06	2
8844	0.0	0
8856	0.0	0
8873	4.0520499320606295e-06	3
8876	0.0	0
8917	2.701366621373753e-06	2
8942	0.0	0
8947	2.701366621373753e-06	2
8949	0.0	0
8964	1.3506833106868764e-06	1
8966	2.701366621373753e-06	2
8969	4.0520499320606295e-06	3
8971	0.0	0
8983	1.3506833106868764e-06	1
9013	2.701366621373753e-06	2
9015	0.0	0
9027	0.0	0
9052	1.3506833106868764e-06	1
9054	0.0	0
9071	1.3506833106868764e-06	1
9093	1.3506833106868764e-06	1
9118	1.3506833106868764e-06	1
9120	0.0	0
9132	4.0520499320606295e-06	3
9135	1.3506833106868764e-06	1
9137	1.3506833106868764e-06	1
9162	1.3506833106868764e-06	1
9164	0.0	0
9179	0.0	0
9184	1.3506833106868764e-06	1
9186	0.0	0
9193	0.0009778947169372986	724
9196	0.0	0
9240	0.0	0
9250	1.3506833106868764e-06	1
9252	0.0	0
9262	0.0	0
9308	4.0520499320606295e-06	3
9311	1.3506833106868764e-06	1
9313	0.0	0
9355	1.3506833106868764e-06	1
9357	0.0	0
9377	1.3506833106868764e-06	1
9379	0.0	0
9399	1.3506833106868764e-06	1
9401	0.0	0
9443	1.3506833106868764e-06	1
9445	0.0	0
9509	1.3506833106868764e-06	1
9511	0.0	0
9553	1.3506833106868764e-06	1
9555	0.0	0
9575	1.3506833106868764e-06	1
9577	0.0	0
9619	4.0520499320606295e-06	3
9621	0.0	0
9641	4.0520499320606295e-06	3
9643	0.0	0
9663	5.402733242747506e-06	4
9665	0.0	0
9699	1.3506833106868764e-06	1
9702	2.701366621373753e-06	2
9704	0.0	0
9721	1.3506833106868764e-06	1
9724	1.3506833106868764e-06	1
9726	0.0	0
9743	0.0	0
9765	1.3506833106868764e-06	1
9804	2.701366621373753e-06	2
9807	1.3506833106868764e-06	1
9809	0.0	0
9834	5.402733242747506e-06	4
9836	0.0	0
9851	1.3506833106868764e-06	1
9853	0.0	0
9870	2.701366621373753e-06	2
9917	1.3506833106868764e-06	1
9919	0.0	0
9939	1.3506833106868764e-06	1
9941	0.0	0
9958	1.3506833106868764e-06	1
9961	1.3506833106868764e-06	1
9963	0.0	0
9980	1.3506833106868764e-06	1
9983	2.701366621373753e-06	2
9985	0.0	0
10002	0.0	0
10085	2.701366621373753e-06	2
10088	1.3506833106868764e-06	1
10090	0.0	0
10107	1.3506833106868764e-06	1
10110	1.3506833106868764e-06	1
10112	0.0	0
10132	1.3506833106868764e-06	1
10134	0.0	0
10173	2.701366621373753e-06	2
10220	1.3506833106868764e-06	1
10222	1.3506833106868764e-06	1
10242	1.3506833106868764e-06	1
10244	1.3506833106868764e-06	1
10247	3.376708276717191e-05	25
10249	0.0	0
10269	8.509304857327322e-05	63
10271	0.0	0
10283	1.3506833106868764e-06	1
10286	2.701366621373753e-06	2
10288	0.0	0
10305	0.0	0
10349	0.0	0
10366	2.701366621373753e-06	2
10369	0.0	0
10388	2.701366621373753e-06	2
10391	1.3506833106868764e-06	1
10393	0.0	0
10413	1.3506833106868764e-06	1
10415	0.0	0
10457	1.3506833106868764e-06	1
10459	0.0	0
10501	2.701366621373753e-06	2
10503	0.0	0
10520	2.701366621373753e-06	2
10523	2.701366621373753e-06	2
10525	0.0	0
10537	5.402733242747506e-06	4
10540	0.0	0
10545	1.3506833106868764e-06	1
10547	0.0	0
10567	1.3506833106868764e-06	1
10569	0.0	0
10584	0.0	0
10606	0.0	0
10655	5.402733242747506e-06	4
10657	0.0	0
10677	5.402733242747506e-06	4
10679	0.0	0
10691	2.701366621373753e-06	2
10694	1.3506833106868764e-06	1
10696	0.0	0
10713	1.3506833106868764e-06	1
10716	1.3506833106868764e-06	1
10718	0.0	0
10738	1.3506833106868764e-06	1
10740	0.0	0
10757	1.3506833106868764e-06	1
10779	1.3506833106868764e-06	1
10804	1.3506833106868764e-06	1
10806	0.0	0
10831	0.00021746001302058713	161
10833	0.0	0
10848	1.3506833106868764e-06	1
10850	0.0	0
10862	5.402733242747506e-06	4
10865	0.0	0
10870	4.0520499320606295e-06	3
10872	0.0	0
10909	1.3506833106868764e-06	1
10911	0.0	0
10931	0.0	0
10972	1.3506833106868764e-06	1
10975	1.3506833106868764e-06	1
10977	0.0	0
10994	1.3506833106868764e-06	1
10997	2.701366621373753e-06	2
10999	0.0	0
11016	1.3506833106868764e-06	1
11085	1.3506833106868764e-06	1
11087	0.0	0
11099	5.402733242747506e-06	4
11102	0.0	0
11107	1.3506833106868764e-06	1
11109	0.0	0
11146	1.3506833106868764e-06	1
11148	2.701366621373753e-06	2
11168	0.0	0
11195	1.3506833106868764e-06	1
11197	0.0	0
11217	4.0520499320606295e-06	3
11219	0.0	0
11226	8.104099864121259e-06	6
11229	0.0	0
11234	1.3506833106868764e-06	1
11236	0.0	0
11253	2.701366621373753e-06	2
11256	1.3506833106868764e-06	1
11258	0.0	0
11273	1.3506833106868764e-06	1
11275	2.701366621373753e-06	2
11278	1.3506833106868764e-06	1
11280	0.0	0
11295	0.0	0
11300	1.3506833106868764e-06	1
11302	0.0	0
11319	2.701366621373753e-06	2
11344	1.3506833106868764e-06	1
11346	0.0	0
11366	1.3506833106868764e-06	1
11368	0.0	0
11388	1.3506833106868764e-06	1
11390	0.0	0
11432	1.3506833106868764e-06	1
11434	0.0	0
11454	1.3506833106868764e-06	1
11456	0.0	0
11498	2.701366621373753e-06	2
11500	0.0	0
